python3 -m cProfile -s cumtime src/main.py >> profile.txt
         1015011 function calls (1009599 primitive calls) in 7.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 header.py:5(<module>)
     1375    0.006    0.000    0.014    0.000 tasks.py:507(ensure_future)
        2    0.000    0.000    0.014    0.007 utils.py:155(inner)
        2    0.000    0.000    0.014    0.007 x509.py:130(extensions)
        2    0.001    0.001    0.014    0.007 decode_asn1.py:189(parse)
      309    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      722    0.006    0.000    0.014    0.000 inspect.py:2450(__init__)
        1    0.000    0.000    0.013    0.013 shutil.py:5(<module>)
     2172    0.010    0.000    0.013    0.000 events.py:104(__init__)
     6813    0.013    0.000    0.013    0.000 {method 'rstrip' of 'str' objects}
     7967    0.013    0.000    0.013    0.000 {method 'popleft' of 'collections.deque' objects}
     7198    0.013    0.000    0.013    0.000 locks.py:169(<genexpr>)
     5515    0.013    0.000    0.013    0.000 {method 'decode' of 'bytes' objects}
     7970    0.013    0.000    0.013    0.000 {method 'append' of 'collections.deque' objects}
     7200    0.013    0.000    0.013    0.000 streams.py:295(transport)
     3566    0.013    0.000    0.013    0.000 random_random_battle.py:37(<listcomp>)
      364    0.005    0.000    0.013    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.012    0.012 name.py:5(<module>)
        2    0.000    0.000    0.012    0.006 ec.py:5(<module>)
     7209    0.012    0.000    0.012    0.000 {built-in method builtins.next}
     7217    0.012    0.000    0.012    0.000 {built-in method builtins.iter}
        4    0.000    0.000    0.012    0.003 cookies.py:118(extract_cookies_to_jar)
        1    0.000    0.000    0.012    0.012 linecache.py:6(<module>)
     5063    0.012    0.000    0.012    0.000 player.py:142(should_die)
     7200    0.012    0.000    0.012    0.000 selector_events.py:610(is_closing)
 1044/996    0.007    0.000    0.012    0.000 typing.py:1164(__setattr__)
        4    0.000    0.000    0.012    0.003 cookiejar.py:1657(extract_cookies)
       83    0.002    0.000    0.011    0.000 sre_compile.py:482(_compile_info)
     1965    0.007    0.000    0.011    0.000 sre_parse.py:163(__getitem__)
        1    0.000    0.000    0.011    0.011 random.py:38(<module>)
      241    0.006    0.000    0.011    0.000 sre_compile.py:250(_optimize_charset)
     3968    0.009    0.000    0.011    0.000 {method 'encode' of 'str' objects}
     1400    0.005    0.000    0.011    0.000 streams.py:440(_wait_for_data)
     3290    0.009    0.000    0.011    0.000 {built-in method builtins.setattr}
      481    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.010    0.010 util.py:15(<module>)
     1411    0.008    0.000    0.010    0.000 base_events.py:282(create_future)
        1    0.000    0.000    0.010    0.010 request.py:68(<module>)
        1    0.000    0.000    0.010    0.010 process.py:10(<module>)
        2    0.000    0.000    0.010    0.005 dh.py:5(<module>)
        1    0.000    0.000    0.010    0.010 sjisprober.py:28(<module>)
     2862    0.010    0.000    0.010    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.010    0.010 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.010    0.010 algos.py:19(<module>)
        1    0.000    0.000    0.010    0.010 tokenize.py:21(<module>)
     3600    0.010    0.000    0.010    0.000 {built-in method websocket.speedups.apply_mask}
        1    0.000    0.000    0.010    0.010 handshake.py:32(<module>)
      345    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:318(__exit__)
     3566    0.010    0.000    0.010    0.000 random_random_battle.py:38(<listcomp>)
       28    0.005    0.000    0.009    0.000 enum.py:160(<setcomp>)
      723    0.005    0.000    0.009    0.000 base_events.py:1326(_add_callback)
       58    0.001    0.000    0.009    0.000 six.py:837(wrapper)
        3    0.007    0.002    0.009    0.003 {method 'read' of '_io.TextIOWrapper' objects}
      309    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.009    0.009 x509.py:5(<module>)
     4798    0.009    0.000    0.009    0.000 sre_parse.py:232(__next)
      340    0.004    0.000    0.009    0.000 inspect.py:2730(__init__)
      636    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.009    0.009 oid.py:5(<module>)
      202    0.002    0.000    0.009    0.000 enum.py:797(__or__)
        1    0.000    0.000    0.008    0.008 _ffi.py:11(<module>)
        1    0.000    0.000    0.008    0.008 modes.py:5(<module>)
        1    0.000    0.000    0.008    0.008 decimal.py:2(<module>)
        1    0.000    0.000    0.008    0.008 signal.py:1(<module>)
      176    0.004    0.000    0.008    0.000 abc.py:135(<setcomp>)
        1    0.000    0.000    0.008    0.008 ipaddress.py:9(<module>)
        2    0.000    0.000    0.008    0.004 scanner.py:2(<module>)
      983    0.004    0.000    0.008    0.000 base_events.py:524(time)
     3566    0.008    0.000    0.008    0.000 battle.py:343(turn_sent)
        1    0.000    0.000    0.008    0.008 string.py:15(<module>)
        1    0.000    0.000    0.008    0.008 protocol.py:7(<module>)
       15    0.000    0.000    0.008    0.001 player.py:115(run)
        2    0.000    0.000    0.008    0.004 adapters.py:255(build_response)
        1    0.000    0.000    0.008    0.008 pickle.py:24(<module>)
      324    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       40    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.008    0.008 chardistribution.py:28(<module>)
        1    0.000    0.000    0.008    0.008 string.py:65(__init__)
     4327    0.007    0.000    0.007    0.000 base_events.py:1476(get_debug)
        1    0.000    0.000    0.007    0.007 hashlib.py:54(<module>)
        1    0.007    0.007    0.007    0.007 {method 'read' of '_io.BufferedReader' objects}
     3600    0.007    0.000    0.007    0.000 locks.py:28(__init__)
        1    0.000    0.000    0.007    0.007 message.py:5(<module>)
  799/391    0.005    0.000    0.007    0.000 sre_parse.py:173(getwidth)
     4281    0.007    0.000    0.007    0.000 {method 'done' of '_asyncio.Task' objects}
      459    0.004    0.000    0.007    0.000 {built-in method builtins.any}
